Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
400 Northgate Mall Dr,Chattanooga,TN,37415,07/09/2018 09:00:00 AM,TN0330100,A2,Adam N,23H,All Other Larceny,Part 1 Crimes,18-064498,3,Pending/Possible Leads,35.127652000000005,-85.24009699999999,POINT (-85.240097 35.127652),3
1900 Bailey Ave,Chattanooga,TN,37404,07/09/2018 08:45:00 AM,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064477,3,Pending/Possible Leads,35.031862000000004,-85.275624,POINT (-85.275624 35.031862),9
5700 Highway 153,Chattanooga,TN,37343,07/09/2018 08:30:00 AM,TN0330100,A1,Adam N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-064836,3,Pending/Possible Leads,35.154720000000005,-85.248525,POINT (-85.248525 35.15472),3
2400 Hamill Rd,Chattanooga,TN,37343,07/09/2018 08:00:00 AM,TN0330100,A2,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,18-064603,3,Pending/Possible Leads,35.1267,-85.22830400000001,POINT (-85.228304 35.1267),3
100 River St,Chattanooga,TN,37405,07/09/2018 07:30:00 AM,TN0330100,A7,Adam S,23H,All Other Larceny,Part 1 Crimes,18-064753,3,Pending/Possible Leads,35.061896999999995,-85.307342,POINT (-85.307342 35.061897),2
1200 E 8th St,Chattanooga,TN,37403,07/09/2018 12:01:00 AM,TN0330100,A8,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064547,3,Pending/Possible Leads,35.041128,-85.290893,POINT (-85.290893 35.041128),8
5100 Austin Rd,Chattanooga,TN,37343,07/09/2018 12:00:00 AM,TN0330100,A1,Adam N,23D,Theft From Buildings,Part 1 Crimes,18-070028,3,Pending/Possible Leads,35.138535000000005,-85.237482,POINT (-85.237482 35.138535),3
200 Acorn Oaks Cir,Chattanooga,TN,37405,07/09/2018 12:00:00 AM,TN0330100,A5,Adam N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-075788,3,Pending/Possible Leads,35.081736,-85.32755,POINT (-85.32755 35.081736),1
1600 Fernwood Cir,Chattanooga,TN,37421,07/08/2018 10:30:00 PM,TN0330100,C8,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064683,3,Pending/Possible Leads,35.011943,-85.142437,POINT (-85.142437 35.011943),4
600 Signal Mountain Rd,Chattanooga,TN,37405,07/08/2018 09:36:00 PM,TN0330100,A5,Adam N,23H,All Other Larceny,Part 1 Crimes,18-064362,3,Pending/Possible Leads,35.098769999999995,-85.324946,POINT (-85.324946 35.09877),1
6300 Laramie Cir,Chattanooga,TN,37421,07/08/2018 09:00:00 PM,TN0330100,C6,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,18-064543,3,Pending/Possible Leads,35.056969,-85.178354,POINT (-85.178354 35.056969),6
2000 Sharp St,Chattanooga,TN,37404,07/08/2018 08:00:00 PM,TN0330100,B4,Baker N,23D,Theft From Buildings,Part 1 Crimes,18-064385,3,Pending/Possible Leads,35.043236,-85.268514,POINT (-85.268514 35.043236),8
