Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
1600 Cowart St,Chattanooga,TN,37408,06/25/2021 01:00:00 AM,TN0330100,A10,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065984,4,Inactive/Suspended,35.035697000000006,-85.31182,POINT (-85.31182 35.035697),7
3400 Curtis St,Chattanooga,TN,37406,06/25/2021 12:04:00 AM,TN0330100,B1,Baker N,23H,All Other Larceny,Part 1 Crimes,21-066301,3,Pending/Possible Leads,35.076646,-85.249116,POINT (-85.249116 35.076646),8
4400 Byrd Ave,Chattanooga,TN,37406,06/24/2021 11:00:00 PM,TN0330100,C5,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,21-065971,4,Inactive/Suspended,35.075626,-85.204982,POINT (-85.204982 35.075626),5
2300 Rivendell Ln,Chattanooga,TN,37421,06/24/2021 11:00:00 PM,TN0330100,C9,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065982,4,Inactive/Suspended,35.040532999999996,-85.14456200000001,POINT (-85.144562 35.040533),4
700 E 11th St,Chattanooga,TN,37403,06/24/2021 09:00:00 PM,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-066185,4,Inactive/Suspended,35.040755,-85.299797,POINT (-85.299797 35.040755),8
4100 Willard Dr,Chattanooga,TN,37416,06/24/2021 08:00:00 PM,TN0330100,C5,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-066525,4,Inactive/Suspended,35.079641,-85.20614,POINT (-85.20614 35.079641),5
1900 Hamill Rd,Chattanooga,TN,37343,06/24/2021 07:52:00 PM,TN0330100,A3,Adam N,23H,All Other Larceny,Part 1 Crimes,21-065908,3,Pending/Possible Leads,35.122400999999996,-85.240907,POINT (-85.240907 35.122401),3
1600 Anderson Ave,Chattanooga,TN,37404,06/24/2021 06:30:00 PM,TN0330100,B5,Baker S,240,Motor Vehicle Theft,Part 1 Crimes,21-065994,4,Inactive/Suspended,35.032053000000005,-85.281844,POINT (-85.281844 35.032053),9
400 Greenway View Dr,Chattanooga,TN,37411,06/24/2021 06:30:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,21-065808,2,Cleared by Arrest,35.008313,-85.20557500000001,POINT (-85.205575 35.008313),6
600 Georgia Ave,Chattanooga,TN,37402,06/24/2021 06:00:00 PM,TN0330100,A7,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,21-066021,1,Unfounded,35.050253,-85.306431,POINT (-85.306431 35.050253),7
7400 Commons Blvd,Chattanooga,TN,37421,06/24/2021 06:00:00 PM,TN0330100,C7,Charlie N,23H,All Other Larceny,Part 1 Crimes,21-065794,3,Pending/Possible Leads,35.033212,-85.146314,POINT (-85.146314 35.033212),4
8100 E Brainerd Rd,Chattanooga,TN,37421,06/24/2021 05:00:00 PM,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065768,2,Cleared by Arrest,35.004702,-85.148418,POINT (-85.148418 35.004702),4
7000 Mccutcheon Rd,Chattanooga,TN,37421,06/24/2021 04:30:00 PM,TN0330100,C9,Charlie N,23D,Theft From Buildings,Part 1 Crimes,21-066025,3,Pending/Possible Leads,35.047213,-85.155704,POINT (-85.155704 35.047213),6
5700 Marlin Rd,Chattanooga,TN,37411,06/24/2021 04:20:00 PM,TN0330100,C3,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,21-065740,4,Inactive/Suspended,35.009106,-85.21020499999999,POINT (-85.210205 35.009106),6
500 Signal Mountain Rd,Chattanooga,TN,37405,06/24/2021 04:05:00 PM,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,21-065728,2,Cleared by Arrest,35.094619,-85.33038499999999,POINT (-85.330385 35.094619),1
5000 Brainerd Rd,Chattanooga,TN,37411,06/24/2021 03:30:00 PM,TN0330100,C3,Charlie S,23H,All Other Larceny,Part 1 Crimes,21-065693,3,Pending/Possible Leads,35.012091999999996,-85.226842,POINT (-85.226842 35.012092),6
2000 Gunbarrel Rd,Chattanooga,TN,37421,06/24/2021 03:10:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065707,2,Cleared by Arrest,35.030992000000005,-85.152199,POINT (-85.152199 35.030992),4
5900 Highway 153,Chattanooga,TN,37343,06/24/2021 03:00:00 PM,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,21-065735,2,Cleared by Arrest,35.165017999999996,-85.24955800000001,POINT (-85.249558 35.165018),3
4800 Hixson Pike,Chattanooga,TN,37343,06/24/2021 02:55:00 PM,TN0330100,A3,Adam N,23C,Shoplifting,Part 1 Crimes,21-065733,3,Pending/Possible Leads,35.129399,-85.247893,POINT (-85.247893 35.129399),2
4700 Highway 58,Chattanooga,TN,37416,06/24/2021 02:30:00 PM,TN0330100,C5,Charlie N,23H,All Other Larceny,Part 1 Crimes,21-065702,3,Pending/Possible Leads,35.087713,-85.188854,POINT (-85.188854 35.087713),5
400 Greenway View Dr,Chattanooga,TN,37411,06/24/2021 02:30:00 PM,TN0330100,C3,Charlie S,23D,Theft From Buildings,Part 1 Crimes,21-065771,3,Pending/Possible Leads,35.009256,-85.204708,POINT (-85.204708 35.009256),6
7700 Aspen Lodge Way,Chattanooga,TN,37421,06/24/2021 02:00:00 PM,TN0330100,C8,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065697,4,Inactive/Suspended,35.008893,-85.157976,POINT (-85.157976 35.008893),4
3200 Rossville Blvd,Chattanooga,TN,37407,06/24/2021 01:45:00 PM,TN0330100,B7,Baker S,23C,Shoplifting,Part 1 Crimes,21-065670,3,Pending/Possible Leads,35.00583,-85.292871,POINT (-85.292871 35.00583),7
2200 Hamilton Place Blvd,Chattanooga,TN,37421,06/24/2021 01:40:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-066064,3,Pending/Possible Leads,35.040477,-85.154302,POINT (-85.154302 35.040477),4
200 W 38th St,Chattanooga,TN,37410,06/24/2021 12:52:00 PM,TN0330100,A11,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065648,4,Inactive/Suspended,35.007562,-85.313563,POINT (-85.313563 35.007562),7
2000 Gunbarrel Rd,Chattanooga,TN,37421,06/24/2021 12:07:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065638,2,Cleared by Arrest,35.034304999999996,-85.152418,POINT (-85.152418 35.034305),4
3300 E 44th St,Chattanooga,TN,37407,06/24/2021 12:00:00 PM,TN0330100,B9,Baker S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,21-068414,4,Inactive/Suspended,34.988065999999996,-85.281341,POINT (-85.281341 34.988066),7
1100 Hixson Pike,Chattanooga,TN,37405,06/24/2021 12:00:00 PM,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065633,4,Inactive/Suspended,35.068484,-85.289209,POINT (-85.289209 35.068484),2
2100 Mccallie Ave,Chattanooga,TN,37404,06/24/2021 09:30:00 AM,TN0330100,B5,Baker S,23C,Shoplifting,Part 1 Crimes,21-065581,3,Pending/Possible Leads,35.034383000000005,-85.27053599999999,POINT (-85.270536 35.034383),8
3600 Brainerd Rd,Chattanooga,TN,37411,06/24/2021 09:30:00 AM,TN0330100,C2,Charlie S,23H,All Other Larceny,Part 1 Crimes,21-065595,3,Pending/Possible Leads,35.025169,-85.24588899999999,POINT (-85.245889 35.025169),5
100 Walnut St,Chattanooga,TN,37403,06/24/2021 08:00:00 AM,TN0330100,A7,Adam S,23H,All Other Larceny,Part 1 Crimes,21-065574,3,Pending/Possible Leads,35.05541,-85.30779100000001,POINT (-85.307791 35.05541),7
1000 E 3rd St,Chattanooga,TN,37403,06/24/2021 07:45:00 AM,TN0330100,A8,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065797,4,Inactive/Suspended,35.046556,-85.290924,POINT (-85.290924 35.046556),8
600 Signal Mountain Rd,Chattanooga,TN,37405,06/24/2021 04:58:00 AM,TN0330100,A5,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065532,4,Inactive/Suspended,35.097392,-85.32553899999999,POINT (-85.325539 35.097392),1
1300 E 3rd St,Chattanooga,TN,37404,06/24/2021 03:26:00 AM,TN0330100,B4,Baker N,23C,Shoplifting,Part 1 Crimes,21-065517,3,Pending/Possible Leads,35.042167,-85.278625,POINT (-85.278625 35.042167),8
5500 Abby Grace Loop,Chattanooga,TN,37415,06/24/2021 02:00:00 AM,TN0330100,A5,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-068121,4,Inactive/Suspended,35.15694,-85.28311000000001,POINT (-85.28311 35.15694),1
4900 Brainerd Rd,Chattanooga,TN,37411,06/24/2021 01:49:00 AM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,21-065508,2,Cleared by Arrest,35.01315099999999,-85.22706400000001,POINT (-85.227064 35.013151),5
5500 Highway 153,Chattanooga,TN,37343,06/24/2021 01:00:00 AM,TN0330100,A1,Adam N,23H,All Other Larceny,Part 1 Crimes,21-065498,3,Pending/Possible Leads,35.141159,-85.24953699999999,POINT (-85.249537 35.141159),2
2100 Gunbarrel Rd,Chattanooga,TN,37421,06/24/2021 12:00:00 AM,TN0330100,C7,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,21-067302,2,Cleared by Arrest,35.036526,-85.151779,POINT (-85.151779 35.036526),4
3800 Tennessee Ave,Chattanooga,TN,37409,06/23/2021 09:40:00 PM,TN0330100,A12,Adam S,23C,Shoplifting,Part 1 Crimes,21-065436,2,Cleared by Arrest,35.010671,-85.32660700000001,POINT (-85.326607 35.010671),7
3200 12th Ave,Chattanooga,TN,37407,06/23/2021 09:00:00 PM,TN0330100,B8,Baker S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,21-065552,4,Inactive/Suspended,35.004473000000004,-85.278699,POINT (-85.278699 35.004473),7
1800 Gunbarrel Rd,Chattanooga,TN,37421,06/23/2021 08:53:00 PM,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065418,2,Cleared by Arrest,35.024046999999996,-85.15517399999999,POINT (-85.155174 35.024047),4
7300 Standifer Gap Rd,Chattanooga,TN,37421,06/23/2021 08:30:00 PM,TN0330100,C9,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,21-065535,4,Inactive/Suspended,35.049457,-85.14755699999999,POINT (-85.147557 35.049457),6
500 Woodland Ave,Chattanooga,TN,37405,06/23/2021 08:17:00 PM,TN0330100,A4,Adam N,23H,All Other Larceny,Part 1 Crimes,21-065406,3,Pending/Possible Leads,35.067899,-85.30724500000001,POINT (-85.307245 35.067899),2
1200 Gadd Rd,Chattanooga,TN,37343,06/23/2021 07:30:00 PM,TN0330100,A1,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065652,4,Inactive/Suspended,35.143093,-85.243613,POINT (-85.243613 35.143093),3
6300 Lee Hwy,Chattanooga,TN,37421,06/23/2021 06:40:00 PM,TN0330100,C6,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065381,3,Pending/Possible Leads,35.033646999999995,-85.179423,POINT (-85.179423 35.033647),6
700 S Highland Park Ave,Chattanooga,TN,37404,06/23/2021 06:24:00 PM,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,21-065378,3,Pending/Possible Leads,35.03497,-85.282381,POINT (-85.282381 35.03497),9
400 Glenwood Dr,Chattanooga,TN,37404,06/23/2021 06:00:00 PM,TN0330100,B4,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065570,4,Inactive/Suspended,35.037699999999994,-85.26176600000001,POINT (-85.261766 35.0377),9
5000 S Terrace,Chattanooga,TN,37412,06/23/2021 05:30:00 PM,TN0330100,C3,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065738,4,Inactive/Suspended,35.003251,-85.222678,POINT (-85.222678 35.003251),6
6200 Lee Hwy,Chattanooga,TN,37421,06/23/2021 05:00:00 PM,TN0330100,C4,Charlie S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,21-065590,4,Inactive/Suspended,35.030611,-85.18443,POINT (-85.18443 35.030611),6
5700 Brainerd Rd,Chattanooga,TN,37411,06/23/2021 03:30:00 PM,TN0330100,C3,Charlie S,23H,All Other Larceny,Part 1 Crimes,21-065312,3,Pending/Possible Leads,35.011156,-85.21155300000001,POINT (-85.211553 35.011156),6
100 River St,Chattanooga,TN,37405,06/23/2021 03:15:00 PM,TN0330100,A7,Adam S,23H,All Other Larceny,Part 1 Crimes,21-065311,3,Pending/Possible Leads,35.062477,-85.308458,POINT (-85.308458 35.062477),2
2200 Hamilton Place Blvd,Chattanooga,TN,37421,06/23/2021 03:00:00 PM,TN0330100,C7,Charlie N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,21-065681,4,Inactive/Suspended,35.037724999999995,-85.15579699999999,POINT (-85.155797 35.037725),4
400 S Highland Park Ave,Chattanooga,TN,37404,06/23/2021 03:00:00 PM,TN0330100,B5,Baker S,23H,All Other Larceny,Part 1 Crimes,21-077334,3,Pending/Possible Leads,35.036028,-85.281013,POINT (-85.281013 35.036028),9
600 Mundy St,Chattanooga,TN,37405,06/23/2021 02:00:00 PM,TN0330100,A5,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065586,4,Inactive/Suspended,35.099191,-85.32594599999999,POINT (-85.325946 35.099191),1
2100 Union Ave,Chattanooga,TN,37404,06/23/2021 02:00:00 PM,TN0330100,B5,Baker S,240,Motor Vehicle Theft,Part 1 Crimes,21-066074,2,Cleared by Arrest,35.032123,-85.273026,POINT (-85.273026 35.032123),9
2000 Gunbarrel Rd,Chattanooga,TN,37421,06/23/2021 01:29:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065264,2,Cleared by Arrest,35.033279,-85.15217,POINT (-85.15217 35.033279),4
2200 Cheek St,Chattanooga,TN,37406,06/23/2021 12:00:00 PM,TN0330100,B2,Baker N,240,Motor Vehicle Theft,Part 1 Crimes,21-065744,I,Closed,35.062234000000004,-85.25403800000001,POINT (-85.254038 35.062234),9
2000 Gunbarrel Rd,Chattanooga,TN,37421,06/23/2021 11:52:00 AM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065227,2,Cleared by Arrest,35.033018,-85.152034,POINT (-85.152034 35.033018),4
5000 State St,Chattanooga,TN,37407,06/23/2021 11:37:00 AM,TN0330100,B9,Baker S,23D,Theft From Buildings,Part 1 Crimes,21-065603,3,Pending/Possible Leads,34.986547,-85.288751,POINT (-85.288751 34.986547),7
5800 Grubb Rd,Chattanooga,TN,37343,06/23/2021 10:00:00 AM,TN0330100,A1,Adam N,23H,All Other Larceny,Part 1 Crimes,21-065211,3,Pending/Possible Leads,35.152934,-85.2431,POINT (-85.2431 35.152934),1
300 Talley Rd,Chattanooga,TN,37411,06/23/2021 09:34:00 AM,TN0330100,C2,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,21-065170,4,Inactive/Suspended,35.022148,-85.234272,POINT (-85.234272 35.022148),5
2600 E 4th St,Chattanooga,TN,37404,06/23/2021 07:56:00 AM,TN0330100,B4,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065156,4,Inactive/Suspended,35.036441,-85.260772,POINT (-85.260772 35.036441),9
1700 S Hawthorne St,Chattanooga,TN,37404,06/23/2021 06:32:00 AM,TN0330100,B6,Baker S,23H,All Other Larceny,Part 1 Crimes,21-065149,4,Inactive/Suspended,35.024738,-85.282352,POINT (-85.282352 35.024738),8
3200 Conner St,Chattanooga,TN,37411,06/23/2021 06:00:00 AM,TN0330100,C2,Charlie S,23H,All Other Larceny,Part 1 Crimes,21-065171,3,Pending/Possible Leads,35.019839000000005,-85.25698,POINT (-85.25698 35.019839),9
300 Mcbrien Rd,Chattanooga,TN,37411,06/23/2021 05:43:00 AM,TN0330100,C3,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,21-065141,3,Pending/Possible Leads,35.005252,-85.225348,POINT (-85.225348 35.005252),6
5500 Brainerd Rd,Chattanooga,TN,37411,06/23/2021 03:30:00 AM,TN0330100,C3,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,21-065164,2,Cleared by Arrest,35.011172,-85.218996,POINT (-85.218996 35.011172),5
2000 Gunbarrel Rd,Chattanooga,TN,37421,06/23/2021 02:45:00 AM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065301,2,Cleared by Arrest,35.034237999999995,-85.15216,POINT (-85.15216 35.034238),4
5400 Mountain Creek Rd,Chattanooga,TN,37415,06/23/2021 01:40:00 AM,TN0330100,A1,Adam N,240,Motor Vehicle Theft,Part 1 Crimes,21-065120,4,Inactive/Suspended,35.157664000000004,-85.284099,POINT (-85.284099 35.157664),1
3500 Taylor St,Chattanooga,TN,37406,06/23/2021 01:00:00 AM,TN0330100,B1,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065167,4,Inactive/Suspended,35.077964,-85.245744,POINT (-85.245744 35.077964),9
18000 Interstate 24 Eb,Chattanooga,TN,37408,06/23/2021 01:00:00 AM,TN0330100,C2,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-066028,4,Inactive/Suspended,35.021733,-85.29693800000001,POINT (-85.296938 35.021733),8
1200 Boynton Dr,Chattanooga,TN,37402,06/23/2021 12:31:00 AM,TN0330100,A6,Adam S,23H,All Other Larceny,Part 1 Crimes,21-065099,3,Pending/Possible Leads,35.046169000000006,-85.31952,POINT (-85.31952 35.046169),7
700 N Germantown Rd,Chattanooga,TN,37411,06/23/2021 12:00:00 AM,TN0330100,C2,Charlie S,23H,All Other Larceny,Part 1 Crimes,21-072090,3,Pending/Possible Leads,35.033294,-85.242047,POINT (-85.242047 35.033294),9
7000 Igou Gap Rd,Chattanooga,TN,37421,06/23/2021 12:00:00 AM,TN0330100,C8,Charlie N,23H,All Other Larceny,Part 1 Crimes,21-065152,4,Inactive/Suspended,35.029598,-85.164851,POINT (-85.164851 35.029598),4
2200 Hickory Valley Rd,Chattanooga,TN,37421,06/22/2021 11:00:00 PM,TN0330100,C6,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,21-065079,3,Pending/Possible Leads,35.046575,-85.166655,POINT (-85.166655 35.046575),6
1100 Carter St,Chattanooga,TN,37402,06/22/2021 10:00:00 PM,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065174,4,Inactive/Suspended,35.04404400000001,-85.31167,POINT (-85.31167 35.044044),7
6900 Lee Hwy,Chattanooga,TN,37421,06/22/2021 09:40:00 PM,TN0330100,C6,Charlie N,23C,Shoplifting,Part 1 Crimes,21-065051,2,Cleared by Arrest,35.045372,-85.164061,POINT (-85.164061 35.045372),6
E 11th St,Chattanooga,TN,37402,06/22/2021 09:00:00 PM,TN0330100,A9,Adam S,23D,Theft From Buildings,Part 1 Crimes,21-065234,3,Pending/Possible Leads,35.043079,-85.309619,POINT (-85.309619 35.043079),7
6700 Ardis Ln,Chattanooga,TN,37343,06/22/2021 08:30:00 PM,TN0330100,A1,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-067888,4,Inactive/Suspended,35.184905,-85.247957,POINT (-85.247957 35.184905),1
700 Market St,Chattanooga,TN,37402,06/22/2021 07:47:00 PM,TN0330100,A7,Adam S,23C,Shoplifting,Part 1 Crimes,21-065026,3,Pending/Possible Leads,35.048642,-85.30882700000001,POINT (-85.308827 35.048642),7
6900 Lee Hwy,Chattanooga,TN,37421,06/22/2021 06:52:00 PM,TN0330100,C6,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,21-064998,4,Inactive/Suspended,35.043374,-85.165934,POINT (-85.165934 35.043374),6
400 Greenway View Dr,Chattanooga,TN,37411,06/22/2021 06:00:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,21-065013,2,Cleared by Arrest,35.008227000000005,-85.20559200000001,POINT (-85.205592 35.008227),6
4200 Autumn Ln,Chattanooga,TN,37416,06/22/2021 06:00:00 PM,TN0330100,C5,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-065162,4,Inactive/Suspended,35.08056,-85.200424,POINT (-85.200424 35.08056),5
6100 Lee Hwy,Chattanooga,TN,37421,06/22/2021 04:50:00 PM,TN0330100,C4,Charlie S,23C,Shoplifting,Part 1 Crimes,21-064981,3,Pending/Possible Leads,35.029789,-85.187418,POINT (-85.187418 35.029789),6
5400 Highway 153,Chattanooga,TN,37343,06/22/2021 04:30:00 PM,TN0330100,A1,Adam N,23H,All Other Larceny,Part 1 Crimes,21-064963,3,Pending/Possible Leads,35.141351,-85.24429599999999,POINT (-85.244296 35.141351),3
2000 Gunbarrel Rd,Chattanooga,TN,37421,06/22/2021 04:01:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-064954,2,Cleared by Arrest,35.030326,-85.152373,POINT (-85.152373 35.030326),4
400 Greenway View Dr,Chattanooga,TN,37411,06/22/2021 03:30:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,21-064935,2,Cleared by Arrest,35.008512,-85.204419,POINT (-85.204419 35.008512),6
400 N Hickory St,Chattanooga,TN,37404,06/22/2021 03:00:00 PM,TN0330100,B4,Baker N,23H,All Other Larceny,Part 1 Crimes,21-065007,3,Pending/Possible Leads,35.042547,-85.273677,POINT (-85.273677 35.042547),8
2500 Bailey Ave,Chattanooga,TN,37404,06/22/2021 03:00:00 PM,TN0330100,B5,Baker S,23D,Theft From Buildings,Part 1 Crimes,21-065688,3,Pending/Possible Leads,35.029956,-85.267249,POINT (-85.267249 35.029956),9
700 Walnut St,Chattanooga,TN,37402,06/22/2021 02:45:00 PM,TN0330100,A7,Adam S,23H,All Other Larceny,Part 1 Crimes,21-064914,3,Pending/Possible Leads,35.048032,-85.308483,POINT (-85.308483 35.048032),7
2000 E 33rd St,Chattanooga,TN,37407,06/22/2021 11:55:00 AM,TN0330100,B7,Baker S,240,Motor Vehicle Theft,Part 1 Crimes,21-064848,2,Cleared by Arrest,35.006988,-85.287757,POINT (-85.287757 35.006988),7
800 Mccallie Ave,Chattanooga,TN,37403,06/22/2021 10:30:00 AM,TN0330100,A8,Adam S,23H,All Other Larceny,Part 1 Crimes,21-064849,3,Pending/Possible Leads,35.042941,-85.296533,POINT (-85.296533 35.042941),8
Highway 24,Chattanooga,TN,37406,06/22/2021 10:00:00 AM,TN0330100,B1,Baker N,240,Motor Vehicle Theft,Part 1 Crimes,21-066003,2,Cleared by Arrest,35.08084,-85.264167,POINT (-85.264167 35.08084),8
3500 4th Ave,Chattanooga,TN,37407,06/22/2021 09:30:00 AM,TN0330100,B7,Baker S,23H,All Other Larceny,Part 1 Crimes,21-065163,3,Pending/Possible Leads,35.002509,-85.287884,POINT (-85.287884 35.002509),7
1400 Chestnut St,Chattanooga,TN,37402,06/22/2021 09:30:00 AM,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-064861,4,Inactive/Suspended,35.03884,-85.313145,POINT (-85.313145 35.03884),7
2100 Chapman Rd,Chattanooga,TN,37421,06/22/2021 09:00:00 AM,TN0330100,C6,Charlie N,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,21-065035,4,Inactive/Suspended,35.059887999999994,-85.186435,POINT (-85.186435 35.059888),6
2300 Rossville Blvd,Chattanooga,TN,37408,06/22/2021 07:00:00 AM,TN0330100,B6,Baker S,240,Motor Vehicle Theft,Part 1 Crimes,21-065165,2,Cleared by Arrest,35.023134000000006,-85.29628500000001,POINT (-85.296285 35.023134),8
2400 Rossville Blvd,Chattanooga,TN,37408,06/22/2021 06:30:00 AM,TN0330100,B6,Baker S,23H,All Other Larceny,Part 1 Crimes,21-064775,3,Pending/Possible Leads,35.020371000000004,-85.294187,POINT (-85.294187 35.020371),8
4200 Cromwell Rd,Chattanooga,TN,37411,06/22/2021 05:00:00 AM,TN0330100,C1,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,21-064804,4,Inactive/Suspended,35.0354683,-85.219646,POINT (-85.219646 35.0354683),5
4200 Cromwell Rd,Chattanooga,TN,37411,06/22/2021 02:10:00 AM,TN0330100,C1,Charlie S,23H,All Other Larceny,Part 1 Crimes,21-064783,4,Inactive/Suspended,35.0354013,-85.221192,POINT (-85.221192 35.0354013),5
4200 14th Ave,Chattanooga,TN,37407,06/22/2021 12:00:00 AM,TN0330100,B9,Baker S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,21-070468,4,Inactive/Suspended,34.992335,-85.282293,POINT (-85.282293 34.992335),7
1000 Peachtree St,Chattanooga,TN,37404,06/22/2021 12:00:00 AM,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,21-065434,3,Pending/Possible Leads,35.024693,-85.269496,POINT (-85.269496 35.024693),9
4000 13th Ave,Chattanooga,TN,37407,06/21/2021 11:00:00 PM,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,21-064838,3,Pending/Possible Leads,34.994011,-85.282746,POINT (-85.282746 34.994011),7
7400 Commons Blvd,Chattanooga,TN,37421,06/21/2021 10:00:00 PM,TN0330100,C7,Charlie N,23D,Theft From Buildings,Part 1 Crimes,21-064959,3,Pending/Possible Leads,35.036764,-85.145927,POINT (-85.145927 35.036764),4
1400 Greenwood Rd,Chattanooga,TN,37411,06/21/2021 10:00:00 PM,TN0330100,C1,Charlie S,23H,All Other Larceny,Part 1 Crimes,21-065024,3,Pending/Possible Leads,35.050603,-85.241587,POINT (-85.241587 35.050603),5
6800 Lee Hwy,Chattanooga,TN,37421,06/21/2021 10:00:00 PM,TN0330100,C6,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,21-064724,2,Cleared by Arrest,35.041579,-85.16742400000001,POINT (-85.167424 35.041579),6
1400 N Chamberlain Ave,Chattanooga,TN,37406,06/21/2021 09:00:00 PM,TN0330100,B3,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,21-064862,1,Unfounded,35.050269,-85.255981,POINT (-85.255981 35.050269),9
1300 Shallowford Rd,Chattanooga,TN,37411,06/21/2021 08:00:00 PM,TN0330100,C2,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,21-065679,4,Inactive/Suspended,35.040926,-85.221615,POINT (-85.221615 35.040926),5
2000 Crutchfield St,Chattanooga,TN,37406,06/21/2021 07:00:00 PM,TN0330100,B2,Baker N,23H,All Other Larceny,Part 1 Crimes,21-064807,3,Pending/Possible Leads,35.064017,-85.256508,POINT (-85.256508 35.064017),8
1200 Riverfront Pkwy,Chattanooga,TN,37402,06/21/2021 07:00:00 PM,TN0330100,A6,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,21-064886,3,Pending/Possible Leads,35.043645000000005,-85.321099,POINT (-85.321099 35.043645),7
1600 Broad St,Chattanooga,TN,37408,06/21/2021 07:00:00 PM,TN0330100,A10,Adam S,23C,Shoplifting,Part 1 Crimes,21-064664,3,Pending/Possible Leads,35.036021,-85.312161,POINT (-85.312161 35.036021),7
2000 Gunbarrel Rd,Chattanooga,TN,37421,06/21/2021 06:10:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,21-064650,3,Pending/Possible Leads,35.034589,-85.152639,POINT (-85.152639 35.034589),4
