Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
1100 Mountain Creek Rd,Chattanooga,TN,37411,6/12/2019 14:46,TN0330100,C2,Charlie S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,19-057184,3,Pending/Possible Leads,35.029997,Woodmore,-85.225512,POINT (-85.225512 35.029997),5
2200 Hamilton Place Blvd,Chattanooga,TN,37421,6/12/2019 15:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057185,3,Pending/Possible Leads,35.037314,,-85.15708,POINT (-85.15708 35.037314),4
6900 Lee Hwy,Chattanooga,TN,37421,6/12/2019 15:04,TN0330100,C6,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057192,3,Pending/Possible Leads,35.042037,Shepherd,-85.168214,POINT (-85.168214 35.042037),6
1800 Gunbarrel Rd,Chattanooga,TN,37421,6/12/2019 15:04,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057186,2,Cleared by Arrest,35.023606,,-85.155747,POINT (-85.155747 35.023606),4
3200 Rossville Blvd,Chattanooga,TN,37407,6/12/2019 15:17,TN0330100,B7,Baker S,23D,Theft From Buildings,Part 1 Crimes,19-057195,2,Cleared by Arrest,35.005273,Clifton Hills,-85.294199,POINT (-85.294199 35.005273),7
6000 Relocation Way,Chattanooga,TN,37363,6/12/2019 15:21,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057190,3,Pending/Possible Leads,35.087479,,-85.061931,POINT (-85.061931 35.087479),6
2600 N Orchard Knob Ave,Chattanooga,TN,37406,6/12/2019 17:00,TN0330100,B2,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,19-058366,3,Pending/Possible Leads,35.068994,Boyce Station,-85.255522,POINT (-85.255522 35.068994),8
2300 E 23rd St,Chattanooga,TN,37407,6/12/2019 17:00,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,19-057229,3,Pending/Possible Leads,35.017343,Oak Grove,-85.277451,POINT (-85.277451 35.017343),9
300 Frazier Ave,Chattanooga,TN,37405,6/12/2019 17:10,TN0330100,A4,Adam N,90J,Trespass Of Real Property,Part 2 Crimes,19-057241,2,Cleared by Arrest,35.06193,,-85.305229,POINT (-85.305229 35.06193),2
2200 Hamilton Place Blvd,Chattanooga,TN,37421,6/12/2019 17:34,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057924,2,Cleared by Arrest,35.037949,,-85.155466,POINT (-85.155466 35.037949),4
2100 Hamilton Place Blvd,Chattanooga,TN,37421,6/12/2019 18:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057266,2,Cleared by Arrest,35.034952,,-85.158953,POINT (-85.158953 35.034952),4
4100 Shallowford Rd,Chattanooga,TN,37411,6/12/2019 18:25,TN0330100,C2,Charlie S,23C,Shoplifting,Part 1 Crimes,19-057252,2,Cleared by Arrest,35.04162,,-85.220312,POINT (-85.220312 35.04162),5
400 Sequoia Dr,Chattanooga,TN,37411,6/12/2019 18:35,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057257,3,Pending/Possible Leads,35.023657,N Brainerd Sunshine,-85.228504,POINT (-85.228504 35.023657),5
2300 E 23rd St,Chattanooga,TN,37407,6/12/2019 18:52,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,19-057263,2,Cleared by Arrest,35.017524,Oak Grove,-85.277582,POINT (-85.277582 35.017524),9
500 Signal Mountain Rd,Chattanooga,TN,37405,6/12/2019 19:01,TN0330100,A5,Adam N,270,Embezzlement,Part 1 Crimes,19-057253,2,Cleared by Arrest,35.093662,,-85.330641,POINT (-85.330641 35.093662),1
3100 Broad St,Chattanooga,TN,37408,6/12/2019 19:01,TN0330100,A11,Adam S,23C,Shoplifting,Part 1 Crimes,19-057265,3,Pending/Possible Leads,35.018173,,-85.321084,POINT (-85.321084 35.018173),7
1500 Hickory Valley Rd,Chattanooga,TN,37421,6/12/2019 19:30,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057316,2,Cleared by Arrest,35.059004,,-85.132573,POINT (-85.132573 35.059004),6
1500 Hickory Valley Rd,Chattanooga,TN,37421,6/12/2019 19:30,TN0330100,C9,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057316,2,Cleared by Arrest,35.057721,,-85.13119,POINT (-85.13119 35.057721),4
4800 Highway 58,Chattanooga,TN,37416,6/12/2019 19:50,TN0330100,C5,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057283,3,Pending/Possible Leads,35.091081,,-85.183608,POINT (-85.183608 35.091081),5
5800 Brainerd Rd,Chattanooga,TN,37411,6/12/2019 20:00,TN0330100,C3,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057446,3,Pending/Possible Leads,35.012517,,-85.211098,POINT (-85.211098 35.012517),6
2200 Morris Hill Rd,Chattanooga,TN,37421,6/12/2019 20:08,TN0330100,C7,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057287,2,Cleared by Arrest,35.027099,,-85.122907,POINT (-85.122907 35.027099),4
3300 Taylor St,Chattanooga,TN,37406,6/13/2019 0:00,TN0330100,B1,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,19-058205,3,Pending/Possible Leads,35.074607,Boyce Station,-85.247933,POINT (-85.247933 35.074607),9
1300 E 3rd St,Chattanooga,TN,37404,6/13/2019 2:55,TN0330100,B4,Baker N,90J,Trespass Of Real Property,Part 2 Crimes,19-057368,2,Cleared by Arrest,35.043834,Bushtown,-85.279412,POINT (-85.279412 35.043834),8
3500 Cummings Hwy,Chattanooga,TN,37419,6/13/2019 4:11,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,19-057367,3,Pending/Possible Leads,35.014813,,-85.375606,POINT (-85.375606 35.014813),1
3900 Volunteer Dr,Chattanooga,TN,37416,6/13/2019 5:00,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057670,3,Pending/Possible Leads,35.074269,,-85.201721,POINT (-85.201721 35.074269),5
3600 Cummings Hwy,Chattanooga,TN,37419,6/13/2019 5:00,TN0330100,A13,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057816,3,Pending/Possible Leads,35.0312485,SS Cowart,-85.309218,POINT (-85.309218 35.0312485),7
3200 Rossville Blvd,Chattanooga,TN,37407,6/13/2019 7:30,TN0330100,B7,Baker S,23E,Theft From Coin-Operated Machine Or Device,Part 1 Crimes,19-057402,2,Cleared by Arrest,35.006571,Clifton Hills,-85.294054,POINT (-85.294054 35.006571),7
3200 Rossville Blvd,Chattanooga,TN,37407,6/13/2019 7:30,TN0330100,B7,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057402,2,Cleared by Arrest,35.00607,Clifton Hills,-85.293341,POINT (-85.293341 35.00607),7
3000 E 34th St,Chattanooga,TN,37407,6/13/2019 7:34,TN0330100,B8,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057406,3,Pending/Possible Leads,35.000462,East Lake,-85.277908,POINT (-85.277908 35.000462),7
3000 E 34th St,Chattanooga,TN,37407,6/13/2019 7:34,TN0330100,B8,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057406,3,Pending/Possible Leads,35.001465,East Lake,-85.278018,POINT (-85.278018 35.001465),7
6600 Sandswitch Rd,Chattanooga,TN,37343,6/13/2019 8:00,TN0330100,A1,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,19-058552,3,Pending/Possible Leads,35.169152,North Hixson,-85.23809,POINT (-85.23809 35.169152),1
100 E 11th St,Chattanooga,TN,37402,6/13/2019 8:57,TN0330100,A9,Adam S,13C,Intimidation,Part 1 Crimes,19-057423,2,Cleared by Arrest,35.042705,,-85.308083,POINT (-85.308083 35.042705),8
5900 Hwy 153,Chattanooga,TN,37343,6/13/2019 9:10,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,19-057429,3,Pending/Possible Leads,35.16418,,-85.250435,POINT (-85.250435 35.16418),3
1300 Riverfront Pkwy,Chattanooga,TN,37402,6/13/2019 10:00,TN0330100,A6,Adam S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,19-057493,3,Pending/Possible Leads,35.042812,,-85.319999,POINT (-85.319999 35.042812),7
3900 Lightfoot Mill Rd,Chattanooga,TN,37406,6/13/2019 10:06,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057439,3,Pending/Possible Leads,35.074092,,-85.204927,POINT (-85.204927 35.074092),5
400 Greenway View Dr,Chattanooga,TN,37421,6/13/2019 12:00,TN0330100,C4,Charlie S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-062736,2,Cleared by Arrest,35.0800425,Riverside Area,-85.262236,POINT (-85.262236 35.0800425),8
2300 Marco Cir,Chattanooga,TN,37421,6/13/2019 13:04,TN0330100,C6,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,19-057489,3,Pending/Possible Leads,35.056936,Meadowbrook Hgts,-85.174031,POINT (-85.174031 35.056936),6
8100 E Brainerd Rd,Chattanooga,TN,37421,6/13/2019 13:10,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057515,3,Pending/Possible Leads,35.005725,,-85.148601,POINT (-85.148601 35.005725),4
3200 Wilcox Blvd,Chattanooga,TN,37411,6/13/2019 13:20,TN0330100,C1,Charlie S,23C,Shoplifting,Part 1 Crimes,19-057517,3,Pending/Possible Leads,35.047529,Foxwood Heights,-85.243513,POINT (-85.243513 35.047529),9
5500 Highway 153,Chattanooga,TN,37343,6/13/2019 13:30,TN0330100,A1,Adam N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-058355,3,Pending/Possible Leads,35.146551,,-85.248824,POINT (-85.248824 35.146551),3
4100 12th Ave,Chattanooga,TN,37407,6/13/2019 14:00,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057678,2,Cleared by Arrest,34.993852,East Lake,-85.283497,POINT (-85.283497 34.993852),7
4100 13th Ave,Chattanooga,TN,37407,6/13/2019 14:00,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-058347,3,Pending/Possible Leads,34.9947665,East Lake,-85.282269,POINT (-85.282269 34.9947665),7
2000 Gunbarrel Rd,Chattanooga,TN,37402,6/13/2019 15:22,TN0330100,C7,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-062735,2,Cleared by Arrest,35.048875,,-85.308547,POINT (-85.308547 35.048875),7
800 Interstate 75 Southbound,Chattanooga,TN,37363,6/13/2019 15:35,TN0330100,C9,Charlie N,26C,Impersonation,Part 1 Crimes,19-088550,3,Pending/Possible Leads,35.064516,,-85.126171,POINT (-85.126171 35.064516),4
3600 Rossville Blvd,Chattanooga,TN,37407,6/13/2019 15:45,TN0330100,B7,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,19-057558,2,Cleared by Arrest,35.001801,Clifton Hills,-85.292853,POINT (-85.292853 35.001801),7
3500 Brainerd Rd,Chattanooga,TN,37411,6/13/2019 16:20,TN0330100,C2,Charlie S,23D,Theft From Buildings,Part 1 Crimes,19-057564,3,Pending/Possible Leads,35.025799,,-85.246466,POINT (-85.246466 35.025799),9
3500 Brainerd Rd,Chattanooga,TN,37411,6/13/2019 16:20,TN0330100,C2,Charlie S,26C,Impersonation,Part 1 Crimes,19-057564,3,Pending/Possible Leads,35.025354,,-85.247739,POINT (-85.247739 35.025354),9
200 Northgate Mall Dr,Chattanooga,TN,37415,6/13/2019 17:00,TN0330100,A2,Adam N,270,Embezzlement,Part 1 Crimes,19-062286,3,Pending/Possible Leads,35.130198,,-85.239208,POINT (-85.239208 35.130198),3
1100 Carter St,Chattanooga,TN,37402,6/13/2019 17:04,TN0330100,A9,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,19-057547,3,Pending/Possible Leads,35.042673,,-85.312878,POINT (-85.312878 35.042673),7
2200 Hamilton Place Blvd,Chattanooga,TN,37421,6/13/2019 18:15,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057580,3,Pending/Possible Leads,35.040652,,-85.154429,POINT (-85.154429 35.040652),4
6300 Hixson Pike,Chattanooga,TN,37343,6/13/2019 18:55,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,19-057668,3,Pending/Possible Leads,35.154955,,-85.197875,POINT (-85.197875 35.154955),3
8400 E Brainerd Rd,Chattanooga,TN,37421,6/13/2019 19:10,TN0330100,C8,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-057624,3,Pending/Possible Leads,35.00131,,-85.137555,POINT (-85.137555 35.00131),4
200 Northgate Mall Dr,Chattanooga,TN,37415,6/13/2019 20:00,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,19-057648,2,Cleared by Arrest,35.129976,,-85.239468,POINT (-85.239468 35.129976),3
2000 S Willow St,Chattanooga,TN,37404,6/13/2019 20:24,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,19-057647,3,Pending/Possible Leads,35.019164,Oak Grove,-85.279172,POINT (-85.279172 35.019164),8
6900 Lee Hwy,Chattanooga,TN,37421,6/13/2019 21:50,TN0330100,C6,Charlie N,120,Robbery,Part 1 Crimes,19-057679,2,Cleared by Arrest,35.042746,Shepherd,-85.167359,POINT (-85.167359 35.042746),6
600 Ashland Ter,Chattanooga,TN,37415,6/13/2019 22:45,TN0330100,A3,Adam N,23D,Theft From Buildings,Part 1 Crimes,19-057701,3,Pending/Possible Leads,35.116349,,-85.279813,POINT (-85.279813 35.116349),2
1800 Tunnel Blvd,Chattanooga,TN,37406,6/13/2019 23:00,TN0330100,C1,Charlie S,23D,Theft From Buildings,Part 1 Crimes,19-057777,3,Pending/Possible Leads,35.048734,North Brainerd,-85.235605,POINT (-85.235605 35.048734),5
500 Signal Mountain Rd,Chattanooga,TN,37405,6/13/2019 23:50,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,19-057720,2,Cleared by Arrest,35.093824,,-85.330484,POINT (-85.330484 35.093824),1
700 E 11th St,Chattanooga,TN,37403,6/14/2019 7:00,TN0330100,A9,Adam S,23D,Theft From Buildings,Part 1 Crimes,19-057946,3,Pending/Possible Leads,35.041424,Martin Luther King,-85.30001,POINT (-85.30001 35.041424),8
2100 Hamilton Place Blvd,Chattanooga,TN,37421,6/14/2019 10:00,TN0330100,C7,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-058271,3,Pending/Possible Leads,35.035399,,-85.158923,POINT (-85.158923 35.035399),4
1400 Marijon Dr,Chattanooga,TN,37421,6/14/2019 11:30,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057904,3,Pending/Possible Leads,35.022716,,-85.18244,POINT (-85.18244 35.022716),6
2000 Cannondale Loop,Chattanooga,TN,37421,6/14/2019 11:54,TN0330100,C8,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057864,3,Pending/Possible Leads,35.020736,,-85.15339,POINT (-85.15339 35.020736),4
1400 Williams St,Chattanooga,TN,37408,6/14/2019 13:00,TN0330100,A9,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057890,3,Pending/Possible Leads,35.03716,SS Cowart,-85.307443,POINT (-85.307443 35.03716),7
1100 Queens Dr,Chattanooga,TN,37406,6/14/2019 13:46,TN0330100,B2,Baker N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,19-057897,3,Pending/Possible Leads,35.069116,Riverside Area,-85.268084,POINT (-85.268084 35.069116),8
4300 13th Ave,Chattanooga,TN,37407,6/14/2019 16:00,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057980,3,Pending/Possible Leads,34.990485,Cedar Hill,-85.283564,POINT (-85.283564 34.990485),7
7300 Lee Hwy,Chattanooga,TN,37421,6/14/2019 16:30,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,19-057985,3,Pending/Possible Leads,35.053942,,-85.145436,POINT (-85.145436 35.053942),6
700 E 48th St,Chattanooga,TN,37410,6/14/2019 17:30,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-058230,3,Pending/Possible Leads,34.992733,Alton Park/ Piney Woods,-85.30483,POINT (-85.30483 34.992733),7
1100 Pineville Rd,Chattanooga,TN,37405,6/14/2019 17:55,TN0330100,A5,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,19-057983,3,Pending/Possible Leads,35.080609,,-85.324615,POINT (-85.324615 35.080609),1
2200 Hamilton Place Blvd,Chattanooga,TN,37421,6/14/2019 18:21,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,19-058012,3,Pending/Possible Leads,35.040186,,-85.152938,POINT (-85.152938 35.040186),4
100 Northgate Mall Dr,Chattanooga,TN,37415,6/14/2019 19:00,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,19-058036,2,Cleared by Arrest,35.130651,,-85.239895,POINT (-85.239895 35.130651),3
3600 Brainerd Rd,Chattanooga,TN,37411,6/14/2019 20:00,TN0330100,C2,Charlie S,26E,Wire/Computer/Other Electronic Manipulation,Part 1 Crimes,19-058194,3,Pending/Possible Leads,35.024232,,-85.246166,POINT (-85.246166 35.024232),5
1300 Moss Dr,Chattanooga,TN,37411,6/14/2019 20:29,TN0330100,C2,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,19-058068,3,Pending/Possible Leads,35.0244217,,-85.248119,POINT (-85.248119 35.0244217),9
5600 Brainerd Rd,Chattanooga,TN,37411,6/14/2019 22:07,TN0330100,C3,Charlie S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-060030,3,Pending/Possible Leads,35.009985,,-85.216222,POINT (-85.216222 35.009985),6
1100 Mccallie Ave,Chattanooga,TN,37404,6/14/2019 22:30,TN0330100,B5,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,19-058145,2,Cleared by Arrest,35.040219,,-85.284822,POINT (-85.284822 35.040219),8
1800 Gunbarrel Rd,Chattanooga,TN,37421,6/14/2019 22:55,TN0330100,C8,Charlie N,23C,Shoplifting,Part 1 Crimes,19-058103,2,Cleared by Arrest,35.023354,,-85.156566,POINT (-85.156566 35.023354),4
7000 Amin Dr,Chattanooga,TN,37421,6/14/2019 23:50,TN0330100,C6,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,19-058112,2,Cleared by Arrest,35.043191,,-85.158136,POINT (-85.158136 35.043191),6
3500 Dodson Ave,Chattanooga,TN,37406,6/14/2019 23:55,TN0330100,B1,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058127,3,Pending/Possible Leads,35.078224,Boyce Station,-85.246693,POINT (-85.246693 35.078224),9
4000 Shallowford Rd,Chattanooga,TN,37411,6/15/2019 0:00,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,19-058448,3,Pending/Possible Leads,35.042582,,-85.220079,POINT (-85.220079 35.042582),5
100 W 20th St,Chattanooga,TN,37408,6/15/2019 0:13,TN0330100,A10,Adam S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-060357,2,Cleared by Arrest,35.031565,,-85.31217,POINT (-85.31217 35.031565),7
500 Signal Mountain Rd,Chattanooga,TN,37405,6/15/2019 0:20,TN0330100,A5,Adam N,23C,Shoplifting,Part 1 Crimes,19-058134,2,Cleared by Arrest,35.094734,,-85.330481,POINT (-85.330481 35.094734),1
500 Signal Mountain Rd,Chattanooga,TN,37405,6/15/2019 0:20,TN0330100,A5,Adam N,90J,Trespass Of Real Property,Part 2 Crimes,19-058134,2,Cleared by Arrest,35.095117,,-85.331873,POINT (-85.331873 35.095117),1
4500 Rossville Blvd,Chattanooga,TN,37407,6/15/2019 0:30,TN0330100,B9,Baker S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-060355,2,Cleared by Arrest,34.990697,Cedar Hill,-85.288741,POINT (-85.288741 34.990697),7
1800 Chestnut St,Chattanooga,TN,37408,6/15/2019 0:48,TN0330100,A10,Adam S,23C,Shoplifting,Part 1 Crimes,19-058138,2,Cleared by Arrest,35.035625,,-85.313978,POINT (-85.313978 35.035625),7
1200 E Main St,Chattanooga,TN,37408,6/15/2019 3:30,TN0330100,B5,Baker S,23C,Shoplifting,Part 1 Crimes,19-058158,3,Pending/Possible Leads,35.029279,Park Central,-85.288184,POINT (-85.288184 35.029279),8
1700 S Hawthorne St,Chattanooga,TN,37404,6/15/2019 4:45,TN0330100,B6,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058172,2,Cleared by Arrest,35.023886,Oak Grove,-85.281817,POINT (-85.281817 35.023886),8
7600 Mallette Rd,Chattanooga,TN,37416,6/15/2019 9:40,TN0330100,C6,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058204,3,Pending/Possible Leads,35.07311,,-85.172725,POINT (-85.172725 35.07311),5
2200 Hamilton Place Blvd,Chattanooga,TN,37421,6/15/2019 10:30,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,19-058212,2,Cleared by Arrest,35.038028,,-85.154967,POINT (-85.154967 35.038028),4
300 Market St,Chattanooga,TN,37402,6/15/2019 10:30,TN0330100,A7,Adam S,23D,Theft From Buildings,Part 1 Crimes,19-086385,3,Pending/Possible Leads,35.05249,,-85.310896,POINT (-85.310896 35.05249),7
3400 4th Ave,Chattanooga,TN,37407,6/15/2019 12:20,TN0330100,B7,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-058301,3,Pending/Possible Leads,35.002712,East Lake,-85.287294,POINT (-85.287294 35.002712),7
6500 Shallowford Rd,Chattanooga,TN,37421,6/15/2019 16:17,TN0330100,C6,Charlie N,23C,Shoplifting,Part 1 Crimes,19-058308,3,Pending/Possible Leads,35.047783,Shepherd,-85.172231,POINT (-85.172231 35.047783),6
2000 E 23rd St,Chattanooga,TN,37404,6/15/2019 16:25,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,19-058322,3,Pending/Possible Leads,35.019164,Oak Grove,-85.282963,POINT (-85.282963 35.019164),8
1500 Hickory Valley Rd,Chattanooga,TN,37421,6/15/2019 17:00,TN0330100,B4,Baker N,90J,Trespass Of Real Property,Part 2 Crimes,19-058328,2,Cleared by Arrest,35.025212,,-85.182478,POINT (-85.182478 35.025212),6
900 E Main St,Chattanooga,TN,37408,6/15/2019 17:00,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-059002,3,Pending/Possible Leads,35.03252,Park Central,-85.294273,POINT (-85.294273 35.03252),8
1500 Hickory Valley Rd,Chattanooga,TN,37421,6/15/2019 17:00,TN0330100,B4,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058328,2,Cleared by Arrest,35.025417,,-85.181482,POINT (-85.181482 35.025417),6
3900 Brainerd Rd,Chattanooga,TN,37411,6/15/2019 17:02,TN0330100,C2,Charlie S,23C,Shoplifting,Part 1 Crimes,19-058325,3,Pending/Possible Leads,35.01915,21st Century,-85.239676,POINT (-85.239676 35.01915),5
100 Northgate Mall Dr,Chattanooga,TN,37415,6/15/2019 17:15,TN0330100,A2,Adam N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-058333,2,Cleared by Arrest,35.131508,,-85.240123,POINT (-85.240123 35.131508),3
6800 Shallowford Rd,Chattanooga,TN,37421,6/15/2019 17:50,TN0330100,C6,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,19-058893,3,Pending/Possible Leads,35.046304,,-85.165348,POINT (-85.165348 35.046304),6
3100 Broad St,Chattanooga,TN,37408,6/15/2019 18:50,TN0330100,A11,Adam S,23C,Shoplifting,Part 1 Crimes,19-058359,3,Pending/Possible Leads,35.01903,,-85.321396,POINT (-85.321396 35.01903),7
4500 Highway 58,Chattanooga,TN,37416,6/15/2019 19:00,TN0330100,C5,Charlie N,23C,Shoplifting,Part 1 Crimes,19-058362,3,Pending/Possible Leads,35.084647,Lake Hills,-85.194534,POINT (-85.194534 35.084647),5
400 Oliver St,Chattanooga,TN,37405,6/15/2019 19:26,TN0330100,A4,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058364,3,Pending/Possible Leads,35.066059,Lower NoShore,-85.304425,POINT (-85.304425 35.066059),2
3800 Clio Ave,Chattanooga,TN,37407,6/15/2019 22:35,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,19-058423,3,Pending/Possible Leads,34.998423,East Lake,-85.28983,POINT (-85.28983 34.998423),7
4700 Brainerd Rd,Chattanooga,TN,37411,6/15/2019 23:50,TN0330100,C2,Charlie S,23C,Shoplifting,Part 1 Crimes,19-058449,3,Pending/Possible Leads,35.014979,,-85.230979,POINT (-85.230979 35.014979),5
5000 Sunnyside Ave,Chattanooga,TN,37409,6/16/2019 0:30,TN0330100,A12,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058545,3,Pending/Possible Leads,34.990533,St. Elmo,-85.32532,POINT (-85.32532 34.990533),7
4000 Lara Ln,Chattanooga,TN,37416,6/16/2019 1:00,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058539,3,Pending/Possible Leads,35.094738,,-85.190087,POINT (-85.190087 35.094738),3
1600 E 50th St,Chattanooga,TN,37407,6/16/2019 2:30,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058484,3,Pending/Possible Leads,34.985654,Alton Park/ Piney Woods,-85.290247,POINT (-85.290247 34.985654),7
1800 Chamberlain Ave,Chattanooga,TN,37404,6/16/2019 2:30,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058532,3,Pending/Possible Leads,35.033638,Highland Park,-85.276396,POINT (-85.276396 35.033638),9
3400 2nd Ave,Chattanooga,TN,37407,6/16/2019 2:30,TN0330100,B7,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058512,3,Pending/Possible Leads,35.00528,East Lake,-85.288411,POINT (-85.288411 35.00528),7
1500 E 23rd St,Chattanooga,TN,37404,6/16/2019 6:45,TN0330100,B6,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,19-058507,2,Cleared by Arrest,35.021733,,-85.290328,POINT (-85.290328 35.021733),8
1500 E 23rd St,Chattanooga,TN,37404,6/16/2019 6:45,TN0330100,B6,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,19-058507,2,Cleared by Arrest,35.022003,,-85.288671,POINT (-85.288671 35.022003),8
7700 Lee Hwy,Chattanooga,TN,37421,6/16/2019 7:50,TN0330100,C9,Charlie N,250,Forgery/Counterfeiting,Part 1 Crimes,19-058510,3,Pending/Possible Leads,35.060938,,-85.132956,POINT (-85.132956 35.060938),6
4000 Brainerd Rd,Chattanooga,TN,37411,6/16/2019 14:30,TN0330100,C2,Charlie S,13C,Intimidation,Part 1 Crimes,19-058601,3,Pending/Possible Leads,35.018547,21st Century,-85.238876,POINT (-85.238876 35.018547),5
