Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
700 Julian Rd,Chattanooga,TN,37421,11/4/2017 8:00,TN0330100,C8,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-108023,3,Pending/Possible Leads,34.994071,,-85.155363,POINT (-85.155363 34.994071),4
5200 Brainerd Rd,Chattanooga,TN,37411,11/4/2017 8:00,TN0330100,C3,Charlie S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,18-020443,3,Pending/Possible Leads,35.01128,Brainerd Park,-85.223662,POINT (-85.223662 35.01128),5
2200 Hamilton Place Blvd,Chattanooga,TN,37421,11/4/2017 9:50,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,17-107573,3,Pending/Possible Leads,35.038123,,-85.154907,POINT (-85.154907 35.038123),4
1300 E 3rd St,Chattanooga,TN,37404,11/4/2017 12:00,TN0330100,B4,Baker N,270,Embezzlement,Part 1 Crimes,17-123478,3,Pending/Possible Leads,35.04366,,-85.280063,POINT (-85.280063 35.04366),8
5900 Lee Hwy,Chattanooga,TN,37421,11/4/2017 14:00,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107653,3,Pending/Possible Leads,35.023409,,-85.195442,POINT (-85.195442 35.023409),6
400 N Market St,Chattanooga,TN,37405,11/4/2017 14:50,TN0330100,A4,Adam N,23C,Shoplifting,Part 1 Crimes,17-107668,3,Pending/Possible Leads,35.065003,Northside/Cherokee,-85.307699,POINT (-85.307699 35.065003),2
5700 Highway 153,Chattanooga,TN,37343,11/4/2017 14:50,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-107663,3,Pending/Possible Leads,35.153061,,-85.24591,POINT (-85.24591 35.153061),3
1100 E 23rd St,Chattanooga,TN,37408,11/4/2017 15:35,TN0330100,B6,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,17-107672,3,Pending/Possible Leads,35.023972,,-85.296911,POINT (-85.296911 35.023972),8
6100 Lee Hwy,Chattanooga,TN,37421,11/4/2017 16:30,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107726,3,Pending/Possible Leads,35.030921,,-85.190579,POINT (-85.190579 35.030921),6
1000 Lynnstone Dr,Chattanooga,TN,37405,11/4/2017 17:15,TN0330100,A5,Adam N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-107694,3,Pending/Possible Leads,35.115335,,-85.310622,POINT (-85.310622 35.115335),1
1000 Lynnstone Dr,Chattanooga,TN,37405,11/4/2017 17:15,TN0330100,A5,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-107694,3,Pending/Possible Leads,35.116308,,-85.310055,POINT (-85.310055 35.116308),1
600 W 14th Street Ct,Chattanooga,TN,37402,11/4/2017 17:27,TN0330100,A6,Adam S,26C,Impersonation,Part 1 Crimes,17-107707,2,Cleared by Arrest,35.041664,,-85.316753,POINT (-85.316753 35.041664),7
1000 W 37th St,Chattanooga,TN,37410,11/4/2017 18:08,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-107719,3,Pending/Possible Leads,35.009821,,-85.322043,POINT (-85.322043 35.009821),7
2400 4th Ave,Chattanooga,TN,37404,11/4/2017 18:14,TN0330100,B6,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107717,3,Pending/Possible Leads,35.0504447,,-85.308556,POINT (-85.308556 35.0504447),7
5700 Highway 153,Chattanooga,TN,37343,11/4/2017 18:20,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-107716,3,Pending/Possible Leads,35.152428,,-85.24608,POINT (-85.24608 35.152428),3
1000 S Beech St,Chattanooga,TN,37404,11/4/2017 18:40,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-107721,3,Pending/Possible Leads,35.02956,Highland Park,-85.278098,POINT (-85.278098 35.02956),8
5100 Highway 58,Chattanooga,TN,37416,11/4/2017 20:00,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107747,3,Pending/Possible Leads,35.098747,,-85.172506,POINT (-85.172506 35.098747),3
